a_Gene_ID	Mirbase ID	species_ID	MSA_start	MSA_end	UTR_start	UTR_end	Group_num	Site_type	miRNA in this species	Group_type	Species_in_this_group	Species_in_this_group_with_this_site_type	ORF_overlap
transcript:ENSORLT00000033889	ola-miR-187-3p#FMORYLATM0298	8090	161	166	161	166	54	6mer	x	6mer	8090		0
transcript:ENSORLT00000033889	ola-miR-187-3p#FMORYLATM0298	8090	634	639	634	639	55	6mer	x	6mer	8090		0
transcript:ENSORLT00000030441	ola-miR-187-3p#FMORYLATM0298	8090	2229	2234	2229	2234	56	6mer	x	6mer	8090		0
transcript:ENSORLT00000031733	ola-miR-187-3p#FMORYLATM0298	8090	2229	2234	2229	2234	57	6mer	x	6mer	8090		0
transcript:ENSORLT00000038907	ola-miR-187-3p#FMORYLATM0298	8090	2229	2234	2229	2234	58	6mer	x	6mer	8090		0
transcript:ENSORLT00000028835	ola-miR-187-3p#FMORYLATM0298	8090	2421	2426	2421	2426	59	6mer	x	6mer	8090		0
transcript:ENSORLT00000041652	ola-miR-187-3p#FMORYLATM0298	8090	656	662	656	662	60	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000030251	ola-miR-187-3p#FMORYLATM0298	8090	1344	1349	1344	1349	61	6mer	x	6mer	8090		0
transcript:ENSORLT00000039543	ola-miR-187-3p#FMORYLATM0298	8090	1344	1349	1344	1349	62	6mer	x	6mer	8090		0
transcript:ENSORLT00000004108	ola-miR-187-3p#FMORYLATM0298	8090	2122	2127	2122	2127	63	6mer	x	6mer	8090		0
transcript:ENSORLT00000045748	ola-miR-187-3p#FMORYLATM0298	8090	2122	2127	2122	2127	64	6mer	x	6mer	8090		0
transcript:ENSORLT00000004310	ola-miR-187-3p#FMORYLATM0298	8090	1456	1463	1456	1463	65	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000004347	ola-miR-187-3p#FMORYLATM0298	8090	32	38	32	38	66	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000030956	ola-miR-187-3p#FMORYLATM0298	8090	915	920	915	920	67	6mer	x	6mer	8090		0
transcript:ENSORLT00000034611	ola-miR-187-3p#FMORYLATM0298	8090	769	774	769	774	68	6mer	x	6mer	8090		0
transcript:ENSORLT00000041550	ola-miR-187-3p#FMORYLATM0298	8090	769	774	769	774	69	6mer	x	6mer	8090		0
transcript:ENSORLT00000046459	ola-miR-187-3p#FMORYLATM0298	8090	769	774	769	774	70	6mer	x	6mer	8090		0
transcript:ENSORLT00000046767	ola-miR-187-3p#FMORYLATM0298	8090	769	774	769	774	71	6mer	x	6mer	8090		0
transcript:ENSORLT00000033403	ola-miR-187-3p#FMORYLATM0298	8090	1409	1414	1409	1414	72	6mer	x	6mer	8090		0
transcript:ENSORLT00000005115	ola-miR-187-3p#FMORYLATM0298	8090	449	454	449	454	73	6mer	x	6mer	8090		0
transcript:ENSORLT00000040686	ola-miR-187-3p#FMORYLATM0298	8090	1750	1755	1750	1755	74	6mer	x	6mer	8090		0
transcript:ENSORLT00000041823	ola-miR-187-3p#FMORYLATM0298	8090	611	618	611	618	75	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000032184	ola-miR-187-3p#FMORYLATM0298	8090	1033	1038	1033	1038	76	6mer	x	6mer	8090		0
transcript:ENSORLT00000034573	ola-miR-187-3p#FMORYLATM0298	8090	3036	3041	3036	3041	77	6mer	x	6mer	8090		0
transcript:ENSORLT00000039834	ola-miR-187-3p#FMORYLATM0298	8090	3036	3041	3036	3041	78	6mer	x	6mer	8090		0
transcript:ENSORLT00000041372	ola-miR-187-3p#FMORYLATM0298	8090	3036	3041	3036	3041	79	6mer	x	6mer	8090		0
transcript:ENSORLT00000045131	ola-miR-187-3p#FMORYLATM0298	8090	3036	3041	3036	3041	80	6mer	x	6mer	8090		0
transcript:ENSORLT00000029895	ola-miR-187-3p#FMORYLATM0298	8090	581	587	581	587	81	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000036819	ola-miR-187-3p#FMORYLATM0298	8090	581	587	581	587	82	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000005518	ola-miR-187-3p#FMORYLATM0298	8090	438	443	438	443	83	6mer	x	6mer	8090		0
transcript:ENSORLT00000039759	ola-miR-187-3p#FMORYLATM0298	8090	438	443	438	443	84	6mer	x	6mer	8090		0
transcript:ENSORLT00000005521	ola-miR-187-3p#FMORYLATM0298	8090	1176	1181	1176	1181	85	6mer	x	6mer	8090		0
transcript:ENSORLT00000040866	ola-miR-187-3p#FMORYLATM0298	8090	1369	1375	1369	1375	86	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000042533	ola-miR-187-3p#FMORYLATM0298	8090	1369	1375	1369	1375	87	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000044003	ola-miR-187-3p#FMORYLATM0298	8090	1369	1375	1369	1375	88	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000044161	ola-miR-187-3p#FMORYLATM0298	8090	1369	1375	1369	1375	89	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000037935	ola-miR-187-3p#FMORYLATM0298	8090	1031	1036	1031	1036	90	6mer	x	6mer	8090		0
transcript:ENSORLT00000039615	ola-miR-187-3p#FMORYLATM0298	8090	1031	1036	1031	1036	91	6mer	x	6mer	8090		0
transcript:ENSORLT00000043487	ola-miR-187-3p#FMORYLATM0298	8090	1031	1036	1031	1036	92	6mer	x	6mer	8090		0
transcript:ENSORLT00000027551	ola-miR-187-3p#FMORYLATM0298	8090	3143	3148	3143	3148	93	6mer	x	6mer	8090		0
transcript:ENSORLT00000027551	ola-miR-187-3p#FMORYLATM0298	8090	546	551	546	551	94	6mer	x	6mer	8090		0
transcript:ENSORLT00000027551	ola-miR-187-3p#FMORYLATM0298	8090	887	893	887	893	95	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000006150	ola-miR-187-3p#FMORYLATM0298	8090	109	115	109	115	96	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000006153	ola-miR-187-3p#FMORYLATM0298	8090	109	115	109	115	97	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040544	ola-miR-187-3p#FMORYLATM0298	8090	109	115	109	115	98	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000006190	ola-miR-187-3p#FMORYLATM0298	8090	105	110	105	110	99	6mer	x	6mer	8090		0
transcript:ENSORLT00000006691	ola-miR-187-3p#FMORYLATM0298	8090	441	446	441	446	100	6mer	x	6mer	8090		0
transcript:ENSORLT00000030230	ola-miR-187-3p#FMORYLATM0298	8090	1681	1686	1681	1686	101	6mer	x	6mer	8090		0
transcript:ENSORLT00000006808	ola-miR-187-3p#FMORYLATM0298	8090	1191	1196	1191	1196	102	6mer	x	6mer	8090		0
transcript:ENSORLT00000045715	ola-miR-187-3p#FMORYLATM0298	8090	1191	1196	1191	1196	103	6mer	x	6mer	8090		0
transcript:ENSORLT00000034820	ola-miR-187-3p#FMORYLATM0298	8090	1627	1632	1627	1632	104	6mer	x	6mer	8090		0
transcript:ENSORLT00000006965	ola-miR-187-3p#FMORYLATM0298	8090	4114	4120	4114	4120	105	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000036432	ola-miR-187-3p#FMORYLATM0298	8090	4114	4120	4114	4120	106	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000042414	ola-miR-187-3p#FMORYLATM0298	8090	4522	4528	4522	4528	107	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000032281	ola-miR-187-3p#FMORYLATM0298	8090	341	347	341	347	108	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000007148	ola-miR-187-3p#FMORYLATM0298	8090	198	204	198	204	109	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000007419	ola-miR-187-3p#FMORYLATM0298	8090	61	66	61	66	110	6mer	x	6mer	8090		0
transcript:ENSORLT00000007459	ola-miR-187-3p#FMORYLATM0298	8090	2045	2051	2045	2051	111	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000035627	ola-miR-187-3p#FMORYLATM0298	8090	197	202	197	202	112	6mer	x	6mer	8090		0
transcript:ENSORLT00000035633	ola-miR-187-3p#FMORYLATM0298	8090	197	202	197	202	113	6mer	x	6mer	8090		0
transcript:ENSORLT00000043036	ola-miR-187-3p#FMORYLATM0298	8090	197	202	197	202	114	6mer	x	6mer	8090		0
transcript:ENSORLT00000038364	ola-miR-187-3p#FMORYLATM0298	8090	696	701	696	701	115	6mer	x	6mer	8090		0
transcript:ENSORLT00000007581	ola-miR-187-3p#FMORYLATM0298	8090	124	129	124	129	116	6mer	x	6mer	8090		0
transcript:ENSORLT00000008084	ola-miR-187-3p#FMORYLATM0298	8090	114	120	114	120	117	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000031081	ola-miR-187-3p#FMORYLATM0298	8090	3310	3316	3310	3316	118	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000031081	ola-miR-187-3p#FMORYLATM0298	8090	850	856	850	856	119	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000029049	ola-miR-187-3p#FMORYLATM0298	8090	2290	2295	2290	2295	120	6mer	x	6mer	8090		0
transcript:ENSORLT00000029049	ola-miR-187-3p#FMORYLATM0298	8090	397	402	397	402	121	6mer	x	6mer	8090		0
transcript:ENSORLT00000008810	ola-miR-187-3p#FMORYLATM0298	8090	135	140	135	140	122	6mer	x	6mer	8090		0
transcript:ENSORLT00000008810	ola-miR-187-3p#FMORYLATM0298	8090	604	609	604	609	123	6mer	x	6mer	8090		0
transcript:ENSORLT00000034730	ola-miR-187-3p#FMORYLATM0298	8090	135	140	135	140	124	6mer	x	6mer	8090		0
transcript:ENSORLT00000034730	ola-miR-187-3p#FMORYLATM0298	8090	604	609	604	609	125	6mer	x	6mer	8090		0
transcript:ENSORLT00000036237	ola-miR-187-3p#FMORYLATM0298	8090	135	140	135	140	126	6mer	x	6mer	8090		0
transcript:ENSORLT00000036237	ola-miR-187-3p#FMORYLATM0298	8090	604	609	604	609	127	6mer	x	6mer	8090		0
transcript:ENSORLT00000038697	ola-miR-187-3p#FMORYLATM0298	8090	378	383	378	383	128	6mer	x	6mer	8090		0
transcript:ENSORLT00000038697	ola-miR-187-3p#FMORYLATM0298	8090	57	63	57	63	129	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000044644	ola-miR-187-3p#FMORYLATM0298	8090	378	383	378	383	130	6mer	x	6mer	8090		0
transcript:ENSORLT00000044644	ola-miR-187-3p#FMORYLATM0298	8090	57	63	57	63	131	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000045962	ola-miR-187-3p#FMORYLATM0298	8090	378	383	378	383	132	6mer	x	6mer	8090		0
transcript:ENSORLT00000045962	ola-miR-187-3p#FMORYLATM0298	8090	57	63	57	63	133	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000042103	ola-miR-187-3p#FMORYLATM0298	8090	537	542	537	542	134	6mer	x	6mer	8090		0
transcript:ENSORLT00000009790	ola-miR-187-3p#FMORYLATM0298	8090	2480	2485	2480	2485	135	6mer	x	6mer	8090		0
transcript:ENSORLT00000043185	ola-miR-187-3p#FMORYLATM0298	8090	2446	2451	2446	2451	136	6mer	x	6mer	8090		0
transcript:ENSORLT00000009916	ola-miR-187-3p#FMORYLATM0298	8090	259	265	259	265	137	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000046190	ola-miR-187-3p#FMORYLATM0298	8090	171	177	171	177	138	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000010099	ola-miR-187-3p#FMORYLATM0298	8090	242	247	242	247	139	6mer	x	6mer	8090		0
transcript:ENSORLT00000010096	ola-miR-187-3p#FMORYLATM0298	8090	242	247	242	247	140	6mer	x	6mer	8090		0
transcript:ENSORLT00000027633	ola-miR-187-3p#FMORYLATM0298	8090	1027	1032	1027	1032	141	6mer	x	6mer	8090		0
transcript:ENSORLT00000027633	ola-miR-187-3p#FMORYLATM0298	8090	118	123	118	123	142	6mer	x	6mer	8090		0
transcript:ENSORLT00000028723	ola-miR-187-3p#FMORYLATM0298	8090	1027	1032	1027	1032	143	6mer	x	6mer	8090		0
transcript:ENSORLT00000028723	ola-miR-187-3p#FMORYLATM0298	8090	118	123	118	123	144	6mer	x	6mer	8090		0
transcript:ENSORLT00000043646	ola-miR-187-3p#FMORYLATM0298	8090	1027	1032	1027	1032	145	6mer	x	6mer	8090		0
transcript:ENSORLT00000043646	ola-miR-187-3p#FMORYLATM0298	8090	118	123	118	123	146	6mer	x	6mer	8090		0
transcript:ENSORLT00000046920	ola-miR-187-3p#FMORYLATM0298	8090	1027	1032	1027	1032	147	6mer	x	6mer	8090		0
transcript:ENSORLT00000046920	ola-miR-187-3p#FMORYLATM0298	8090	118	123	118	123	148	6mer	x	6mer	8090		0
transcript:ENSORLT00000032794	ola-miR-187-3p#FMORYLATM0298	8090	2231	2237	2231	2237	149	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000036561	ola-miR-187-3p#FMORYLATM0298	8090	2231	2237	2231	2237	150	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000010980	ola-miR-187-3p#FMORYLATM0298	8090	1336	1342	1336	1342	151	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000031229	ola-miR-187-3p#FMORYLATM0298	8090	2697	2703	2697	2703	152	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000029613	ola-miR-187-3p#FMORYLATM0298	8090	754	760	754	760	153	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000036685	ola-miR-187-3p#FMORYLATM0298	8090	833	838	833	838	154	6mer	x	6mer	8090		0
transcript:ENSORLT00000033461	ola-miR-187-3p#FMORYLATM0298	8090	1859	1864	1859	1864	155	6mer	x	6mer	8090		0
transcript:ENSORLT00000012063	ola-miR-187-3p#FMORYLATM0298	8090	893	898	893	898	156	6mer	x	6mer	8090		0
transcript:ENSORLT00000012884	ola-miR-187-3p#FMORYLATM0298	8090	3873	3878	3873	3878	157	6mer	x	6mer	8090		0
transcript:ENSORLT00000027019	ola-miR-187-3p#FMORYLATM0298	8090	3873	3878	3873	3878	158	6mer	x	6mer	8090		0
transcript:ENSORLT00000032233	ola-miR-187-3p#FMORYLATM0298	8090	3873	3878	3873	3878	159	6mer	x	6mer	8090		0
transcript:ENSORLT00000036194	ola-miR-187-3p#FMORYLATM0298	8090	413	418	413	418	160	6mer	x	6mer	8090		0
transcript:ENSORLT00000040164	ola-miR-187-3p#FMORYLATM0298	8090	3956	3961	3956	3961	161	6mer	x	6mer	8090		0
transcript:ENSORLT00000013381	ola-miR-187-3p#FMORYLATM0298	8090	919	925	919	925	162	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000031921	ola-miR-187-3p#FMORYLATM0298	8090	656	662	656	662	163	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000030456	ola-miR-187-3p#FMORYLATM0298	8090	669	675	669	675	164	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028883	ola-miR-187-3p#FMORYLATM0298	8090	1714	1720	1714	1720	165	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000028883	ola-miR-187-3p#FMORYLATM0298	8090	1796	1802	1796	1802	166	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000037073	ola-miR-187-3p#FMORYLATM0298	8090	1714	1720	1714	1720	167	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000037073	ola-miR-187-3p#FMORYLATM0298	8090	1796	1802	1796	1802	168	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040199	ola-miR-187-3p#FMORYLATM0298	8090	1714	1720	1714	1720	169	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040199	ola-miR-187-3p#FMORYLATM0298	8090	1796	1802	1796	1802	170	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000043956	ola-miR-187-3p#FMORYLATM0298	8090	198	204	198	204	171	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000040194	ola-miR-187-3p#FMORYLATM0298	8090	4242	4249	4242	4249	172	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000043706	ola-miR-187-3p#FMORYLATM0298	8090	1369	1375	1369	1375	173	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000028758	ola-miR-187-3p#FMORYLATM0298	8090	1501	1506	1501	1506	174	6mer	x	6mer	8090		0
transcript:ENSORLT00000044256	ola-miR-187-3p#FMORYLATM0298	8090	1501	1506	1501	1506	175	6mer	x	6mer	8090		0
transcript:ENSORLT00000015172	ola-miR-187-3p#FMORYLATM0298	8090	1356	1362	1356	1362	176	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000015172	ola-miR-187-3p#FMORYLATM0298	8090	1444	1449	1444	1449	177	6mer	x	6mer	8090		0
transcript:ENSORLT00000015280	ola-miR-187-3p#FMORYLATM0298	8090	608	613	608	613	178	6mer	x	6mer	8090		0
transcript:ENSORLT00000031592	ola-miR-187-3p#FMORYLATM0298	8090	608	613	608	613	179	6mer	x	6mer	8090		0
transcript:ENSORLT00000015703	ola-miR-187-3p#FMORYLATM0298	8090	1814	1819	1814	1819	180	6mer	x	6mer	8090		0
transcript:ENSORLT00000036834	ola-miR-187-3p#FMORYLATM0298	8090	1814	1819	1814	1819	181	6mer	x	6mer	8090		0
transcript:ENSORLT00000033691	ola-miR-187-3p#FMORYLATM0298	8090	3182	3188	3182	3188	182	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000038359	ola-miR-187-3p#FMORYLATM0298	8090	3182	3188	3182	3188	183	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000015926	ola-miR-187-3p#FMORYLATM0298	8090	920	926	920	926	184	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000031621	ola-miR-187-3p#FMORYLATM0298	8090	313	318	313	318	185	6mer	x	6mer	8090		0
transcript:ENSORLT00000035681	ola-miR-187-3p#FMORYLATM0298	8090	313	318	313	318	186	6mer	x	6mer	8090		0
transcript:ENSORLT00000016276	ola-miR-187-3p#FMORYLATM0298	8090	4365	4371	4365	4371	187	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000030268	ola-miR-187-3p#FMORYLATM0298	8090	2571	2576	2571	2576	188	6mer	x	6mer	8090		0
transcript:ENSORLT00000043499	ola-miR-187-3p#FMORYLATM0298	8090	3043	3048	3043	3048	189	6mer	x	6mer	8090		0
transcript:ENSORLT00000016345	ola-miR-187-3p#FMORYLATM0298	8090	1272	1279	1272	1279	190	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000016345	ola-miR-187-3p#FMORYLATM0298	8090	1317	1322	1317	1322	191	6mer	x	6mer	8090		0
transcript:ENSORLT00000016345	ola-miR-187-3p#FMORYLATM0298	8090	2089	2094	2089	2094	192	6mer	x	6mer	8090		0
transcript:ENSORLT00000016434	ola-miR-187-3p#FMORYLATM0298	8090	2924	2930	2924	2930	193	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000017091	ola-miR-187-3p#FMORYLATM0298	8090	377	384	377	384	194	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000017196	ola-miR-187-3p#FMORYLATM0298	8090	1537	1542	1537	1542	195	6mer	x	6mer	8090		0
transcript:ENSORLT00000034586	ola-miR-187-3p#FMORYLATM0298	8090	64	69	64	69	196	6mer	x	6mer	8090		0
transcript:ENSORLT00000028321	ola-miR-187-3p#FMORYLATM0298	8090	508	514	508	514	197	7mer-m8	x	7mer-m8	8090		0
transcript:ENSORLT00000032475	ola-miR-187-3p#FMORYLATM0298	8090	3327	3332	3327	3332	198	6mer	x	6mer	8090		0
transcript:ENSORLT00000046182	ola-miR-187-3p#FMORYLATM0298	8090	212	218	212	218	199	7mer-1a	x	7mer-1a	8090		0
transcript:ENSORLT00000046182	ola-miR-187-3p#FMORYLATM0298	8090	224	231	224	231	200	8mer-1a	x	8mer-1a	8090		0
transcript:ENSORLT00000032212	ola-miR-187-3p#FMORYLATM0298	8090	1328	1333	1328	1333	201	6mer	x	6mer	8090		0
